player,comp,round,date,venue,opp,pos,min,type,assisted
ronaldo,Liga NOS,6,10/7/2002,H,Moreirense ,RW,34',,
ronaldo,Liga NOS,6,10/7/2002,H,Moreirense ,,90',,
ronaldo,Liga NOS,8,10/26/2002,A,Boavista,,88',,Carlos Martins
ronaldo,Taça de Portugal Placard,Fourth Round,11/24/2002,H,Estarreja,,67',Left-footed shot,César Prates
ronaldo,Taça de Portugal Placard,Fifth Round,12/18/2002,H,Oliv. Hospital,,13',,
ronaldo,Premier League,11,11/1/2003,H,Portsmouth  ,RW,80',Right-footed shot,
ronaldo,FA Cup,Fifth Round,2/14/2004,H,Man City,RW,74',Tap-in,Ryan Giggs
ronaldo,Premier League,29,3/20/2004,H,Spurs  ,,89',Right-footed shot,
ronaldo,Premier League,32,4/10/2004,A,Birmingham  ,,60',Header,Ryan Giggs
ronaldo,Premier League,38,5/15/2004,A,Aston Villa  ,,4',Right-footed shot,
ronaldo,FA Cup,Final,5/22/2004,H,Millwall,RW,44',Header,Gary Neville
ronaldo,Premier League,16,12/4/2004,H,Southampton  ,,87',Right-footed shot,Gary Neville
ronaldo,FA Cup,Third Round,1/19/2005,A,Exeter City,,9',,Paul Scholes
ronaldo,Premier League,24,1/22/2005,H,Aston Villa  ,,8',Right-footed shot,Louis Saha
ronaldo,Premier League,25,2/1/2005,A,Arsenal  ,RW,54',Left-footed shot,Ryan Giggs
ronaldo,Premier League,25,2/1/2005,A,Arsenal  ,RW,58',Tap-in,Ryan Giggs
ronaldo,FA Cup,Fifth Round,2/19/2005,A,Everton,,58',Tap-in,Paul Scholes
ronaldo,FA Cup,Sixth Round,3/12/2005,A,Southampton,,45'+1,Left-footed shot,Ruud van Nistelrooy
ronaldo,Premier League,30,3/19/2005,H,Fulham  ,,21',Right-footed shot,Roy Keane
ronaldo,FA Cup,Semi-Finals,4/17/2005,A,Newcastle,RW,76',Right-footed shot,Ruud van Nistelrooy
ronaldo,Champions League Qualifying,3rd round,8/9/2005,H,Debrecen,,63',Right-footed shot,Paul Scholes
ronaldo,Premier League,11,10/29/2005,A,Middlesbrough  ,,90',Header,Paul Scholes
ronaldo,EFL Cup,Round of 16,11/30/2005,H,West Brom,RW,12',Penalty,
ronaldo,Premier League,20,12/31/2005,H,Bolton  ,,68',Right-footed shot,Wayne Rooney
ronaldo,Premier League,20,12/31/2005,H,Bolton  ,,90',Left-footed shot,Ruud van Nistelrooy
ronaldo,Premier League,25,2/4/2006,H,Fulham  ,,14',Direct free kick,
ronaldo,,,,,,,87',Right-footed shot,
ronaldo,Premier League,26,2/11/2006,A,Portsmouth  ,RW,38',Left-footed shot,
ronaldo,,,,,,,45',Right-footed shot,Wayne Rooney
ronaldo,EFL Cup,Final,2/26/2006,H,Wigan,RW,59',,Louis Saha
ronaldo,Premier League,28,3/6/2006,A,Wigan  ,,74',Right-footed shot,Ruud van Nistelrooy
ronaldo,Premier League,38,5/7/2006,H,Charlton  ,RW,23',Left-footed shot,Ryan Giggs
ronaldo,Premier League,1,8/20/2006,H,Fulham  ,,19',,Wayne Rooney
ronaldo,Premier League,6,9/23/2006,A,Reading  ,CF,73',,John O'Shea
ronaldo,Premier League,10,10/28/2006,A,Bolton  ,,82',,Louis Saha
ronaldo,Premier League,11,11/4/2006,H,Portsmouth  ,RW,10',Direct free kick,
ronaldo,Premier League,15,11/29/2006,H,Everton  ,,39',,
ronaldo,Premier League,17,12/9/2006,H,Man City  ,,84',,
ronaldo,Premier League,19,12/23/2006,A,Aston Villa  ,,58',,
ronaldo,,,,,,,85',,Gary Neville
ronaldo,Premier League,20,12/26/2006,H,Wigan  ,,47',,Paul Scholes
ronaldo,,,,,,,50',Penalty rebound,Ji-sung Park
ronaldo,Premier League,21,12/30/2006,H,Reading  ,RW,58',,Ole Gunnar Solskjaer
ronaldo,,,,,,,77',,Ryan Giggs
ronaldo,Premier League,23,1/13/2007,H,Aston Villa  ,,34',Header,Michael Carrick
ronaldo,Premier League,25,1/31/2007,H,Watford  ,RW,12',Penalty,
ronaldo,Premier League,26,2/3/2007,A,Spurs  ,RW,45',Penalty,
ronaldo,Premier League,28,2/24/2007,A,Fulham  ,,88',Solo run,
ronaldo,FA Cup,Sixth Round,3/10/2007,A,Middlesbrough,,68',Penalty,
ronaldo,FA Cup,6th round,3/19/2007,H,Middlesbrough,,76',Penalty,
ronaldo,Champions League,Quarter-Finals,4/10/2007,H,AS Roma,RW,44',Right-footed shot,Ryan Giggs
ronaldo,,,,,,,49',Right-footed shot,Ryan Giggs
ronaldo,FA Cup,Semi-Finals,4/14/2007,A,Watford,,28',Right-footed shot,Wayne Rooney
ronaldo,Champions League,Semi-Finals,4/24/2007,H,AC Milan,RW,5',Header,Ryan Giggs
ronaldo,Premier League,37,5/5/2007,A,Man City  ,RW,34',Penalty,
ronaldo,Champions League,Group Stage,9/19/2007,A,Sporting CP,RW,62',Header,Wes Brown
ronaldo,Premier League,8,9/29/2007,A,Birmingham  ,RW,51',,
ronaldo,Premier League,9,10/6/2007,H,Wigan  ,RW,59',Header,Ryan Giggs
ronaldo,,,,,,,76',Right-footed shot,Wayne Rooney
ronaldo,Champions League,Group Stage,10/23/2007,A,Dynamo Kyiv,RW,41',Penalty,
ronaldo,,,,,,,68',Header,Ryan Giggs
ronaldo,Premier League,12,11/3/2007,A,Arsenal  ,RW,82',,Patrice Evra
ronaldo,Champions League,Group Stage,11/7/2007,H,Dynamo Kyiv,RW,88',Right-footed shot,Patrice Evra
ronaldo,Premier League,13,11/11/2007,H,Blackburn  ,RW,34',Header,Ryan Giggs
ronaldo,,,,,,,35',Right-footed shot,Carlos Tevez
ronaldo,Champions League,Group Stage,11/27/2007,H,Sporting CP,RW,90'+3,Direct free kick,
ronaldo,Premier League,15,12/3/2007,H,Fulham  ,,10',Right-footed shot,Nemanja Vidic?
ronaldo,,,,,,,58',Header,John O'Shea
ronaldo,Premier League,16,12/8/2007,H,Derby  ,,90',Penalty,
ronaldo,Premier League,18,12/23/2007,H,Everton  ,RW,22',Left-footed shot,Carlos Tevez
ronaldo,,,,,,,87',Penalty,
ronaldo,Premier League,19,12/26/2007,A,Sunderland  ,,45',Direct free kick,
ronaldo,Premier League,20,12/29/2007,A,West Ham  ,,14',Header,Ryan Giggs
ronaldo,FA Cup,Third Round,1/5/2008,A,Aston Villa,,81',Left-footed shot,Ryan Giggs
ronaldo,Premier League,22,1/12/2008,H,Newcastle  ,RW,48',Direct free kick,
ronaldo,,,,,,,70',Right-footed shot,Carlos Tevez
ronaldo,,,,,,,88',Left-footed shot,
ronaldo,Premier League,23,1/19/2008,A,Reading  ,RW,90'+2,Right-footed shot,
ronaldo,FA Cup,Fourth Round,1/27/2008,H,Spurs,RW,69',Penalty,
ronaldo,,,,,,,88',Right-footed shot,Ryan Giggs
ronaldo,Premier League,24,1/30/2008,H,Portsmouth  ,RW,10',Right-footed shot,Nani
ronaldo,,,,,,,12',Direct free kick,
ronaldo,Premier League,27,2/23/2008,A,Newcastle  ,RW,45',Right-footed shot,Michael Carrick
ronaldo,,,,,,,56',Right-footed shot,
ronaldo,Champions League,last 16,3/4/2008,H,Olympique Lyon,RW,41',Left-footed shot,
ronaldo,Premier League,29,3/15/2008,A,Derby  ,,76',Right-footed shot,Wayne Rooney
ronaldo,Premier League,30,3/19/2008,H,Bolton  ,,8',Right-footed shot,
ronaldo,,,,,,,19',Direct free kick,
ronaldo,Premier League,31,3/23/2008,H,Liverpool  ,RW,79',Header,Nani
ronaldo,Premier League,32,3/29/2008,H,Aston Villa  ,RW,16',Right-footed shot,
ronaldo,Champions League,Quarter-Finals,4/1/2008,A,AS Roma,RW,39',Header,Paul Scholes
ronaldo,Premier League,33,4/6/2008,A,Middlesbrough  ,RW,9',Left-footed shot,Michael Carrick
ronaldo,Premier League,34,4/13/2008,H,Arsenal  ,RW,53',Penalty,
ronaldo,Premier League,37,5/3/2008,H,West Ham  ,,3',Right-footed shot,Edwin van der Sar
ronaldo,,,,,,,24',Right-footed shot,Owen Hargreaves
ronaldo,Premier League,38,5/11/2008,A,Wigan  ,,32',Penalty,
ronaldo,Champions League,Final,5/21/2008,H,Chelsea,LW,26',Header,Wes Brown
ronaldo,EFL Cup,Third Round,9/23/2008,H,Middlesbrough,,25',Header,Ryan Giggs
ronaldo,Premier League,6,9/27/2008,H,Bolton  ,RW,59',Penalty,
ronaldo,Premier League,8,10/18/2008,H,West Brom  ,RW,69',Left-footed shot,Wayne Rooney
ronaldo,Premier League,10,10/29/2008,H,West Ham  ,RW,14',Left-footed shot,Nani
ronaldo,,,,,,,30',Right-footed shot,Dimitar Berbatov
ronaldo,Premier League,11,11/1/2008,H,Hull City  ,RW,3',Left-footed shot,Dimitar Berbatov
ronaldo,,,,,,,43',Header,Nani
ronaldo,Premier League,13,11/15/2008,H,Stoke City  ,RW,3',Direct free kick,
